Age Group,2013,2023,Percent of Total 2013,Percent of Total 2023,Percentage Change
"=""0 - 9""",60750.0,52922.0,16.01,13.28,-12.89
"=""10 - 19""",54809.0,55981.0,14.44,14.05,2.14
"=""20 - 34""",86783.0,93168.0,22.86,23.38,7.36
"=""35 - 44""",51005.0,53442.0,13.44,13.41,4.78
"=""45 - 54""",53860.0,47056.0,14.19,11.81,-12.63
"=""55 - 64""",36900.0,46482.0,9.72,11.67,25.97
"=""65 - 74""",22655.0,31581.0,5.97,7.93,39.4
"=""75 - 84""",8691.0,13374.0,2.29,3.36,53.88
85+,4112.0,4417.0,1.08,1.11,7.42
